Titolo,Artista,Settimana,Streaming,Radio_Tv,Download,Percentuale
Che t'o dico a fa',Angelina Mango,2024-01-06,71,28,1,100.0
Moneylove,Massimo Pericolo feat. Emis Killa,2024-01-06,99,1,0,91.29
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier,2024-01-06,99,0,1,86.6
2minuti,Calcutta,2024-01-06,62,37,1,84.29
Anche stasera,Sfera Ebbasta feat. Elodie,2024-01-06,83,16,1,82.57
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang,2024-01-06,99,1,0,82.51
15 Piani,Sfera Ebbasta feat. Marracash,2024-01-06,100,0,0,75.6
Euforia,Annalisa,2024-01-06,37,57,6,73.37
Houdini,Dua Lipa,2024-01-06,36,63,1,70.7
Rossofuoco,Mida,2024-01-06,97,0,3,64.22
Italodisco,Kolors,2024-01-06,82,13,5,63.62
Vetri neri,Ava & Anna & Capo Plaza,2024-01-06,99,0,1,60.08
Nightmares,Bresh & Pinguini Tattici Nucleari,2024-01-06,67,32,1,59.21
Petit fou fou,Rhove & Anna,2024-01-06,87,10,2,58.26
Bruciasse il cielo,Blanco,2024-01-06,40,59,1,55.31
Cadillac,Boro & Artie 5Ive & Andry The Hitmaker,2024-01-06,100,0,0,53.46
Greedy,Tate Mcrae,2024-01-06,36,64,0,51.51
Si no estas,Inigo Quintero,2024-01-06,98,1,2,50.49
Un milione di notti,Mr. Rain & Clara,2024-01-06,56,43,1,49.68
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo,2024-01-06,99,0,1,49.15
VDLC,Sfera Ebbasta,2024-01-06,100,0,0,48.79
Insta lova,Marracash & Guè Pequeno,2024-01-06,87,13,1,48.0
Cenere,Lazza,2024-01-06,95,5,1,47.83
"Io, me ed altri guai",Rose Villain,2024-01-06,33,65,2,47.26
Ti sento,Bob Sinclar & Matia Bazar feat. Antonella Ruggiero,2024-01-06,20,66,14,46.85
G63,Sfera Ebbasta feat. Lazza & Shiva,2024-01-06,100,0,0,44.33
Come vuoi,Geolier,2024-01-06,100,0,0,43.92
I believe in love again,Peggy Gou & Lenny Kravitz,2024-01-06,0,100,0,41.89
Bellissimissima,Alfa,2024-01-06,99,0,1,41.23
Occhi lucidi,Ultimo,2024-01-06,45,53,1,40.06
Parole vuote (La solitudine),Tedua & Capo Plaza & Shune,2024-01-06,99,1,0,39.89
Due vite,Marco Mengoni,2024-01-06,92,7,1,39.73
